ent,sex,year,mes,saltrim
San Luis Potosí,Hombre,2008,9,31096.531
Sinaloa,Hombre,2008,9,39263.629
Sonora,Hombre,2008,9,36434.379
Tabasco,Hombre,2008,9,37543.844
Tamaulipas,Hombre,2008,9,36134.438
Tlaxcala,Hombre,2008,9,23499.664
Veracruz de Ignacio de la Llave,Hombre,2008,9,30455.215
Yucatán,Hombre,2008,9,27816.066
Zacatecas,Hombre,2008,9,30764.67
Aguascalientes,Hombre,2008,12,30172.723
Baja California,Hombre,2008,12,35743.172
Baja California Sur,Hombre,2008,12,42290.984
Campeche,Hombre,2008,12,27666.666
Coahuila de Zaragoza,Hombre,2008,12,31894.99
Colima,Hombre,2008,12,33587.16
Chiapas,Hombre,2008,12,23230.668
Chihuahua,Hombre,2008,12,32892.707
Ciudad de México,Hombre,2008,12,37753.242
Durango,Hombre,2008,12,26780.674
Guanajuato,Hombre,2008,12,28425.039
Guerrero,Hombre,2008,12,27492.764
Hidalgo,Hombre,2008,12,31297.096
Jalisco,Hombre,2008,12,33666.496
México,Hombre,2008,12,27033.756
Michoacán de Ocampo,Hombre,2008,12,31238.488
Morelos,Hombre,2008,12,27397.65
Nayarit,Hombre,2008,12,30908.91
Nuevo León,Hombre,2008,12,39108.25
Oaxaca,Hombre,2008,12,26766.848
Puebla,Hombre,2008,12,28099.912
Querétaro,Hombre,2008,12,34687.75
Quintana Roo,Hombre,2008,12,36817.152
San Luis Potosí,Hombre,2008,12,30237.662
Sinaloa,Hombre,2008,12,37861.582
Sonora,Hombre,2008,12,33574.469
Tabasco,Hombre,2008,12,37011.234
Tamaulipas,Hombre,2008,12,34994.57
Tlaxcala,Hombre,2008,12,21386.963
Veracruz de Ignacio de la Llave,Hombre,2008,12,30034.373
Yucatán,Hombre,2008,12,26101.891
Zacatecas,Hombre,2008,12,28899.883
Aguascalientes,Hombre,2009,3,29581.926
Baja California,Hombre,2009,3,36579.363
Baja California Sur,Hombre,2009,3,42552.969
Campeche,Hombre,2009,3,28263.457
Coahuila de Zaragoza,Hombre,2009,3,31318.996
Colima,Hombre,2009,3,33513.992
Chiapas,Hombre,2009,3,23966.725
Chihuahua,Hombre,2009,3,35004.723
Ciudad de México,Hombre,2009,3,35085.336
Durango,Hombre,2009,3,27524.939
Guanajuato,Hombre,2009,3,28643.85
Guerrero,Hombre,2009,3,26930.748
Hidalgo,Hombre,2009,3,30708.867
Jalisco,Hombre,2009,3,33065.461
México,Hombre,2009,3,27796.834
Michoacán de Ocampo,Hombre,2009,3,31784.967
Morelos,Hombre,2009,3,26958.574
Nayarit,Hombre,2009,3,31261.33
Nuevo León,Hombre,2009,3,37463.984
Oaxaca,Hombre,2009,3,26274.365
Puebla,Hombre,2009,3,27178.473
Querétaro,Hombre,2009,3,32730.375
Quintana Roo,Hombre,2009,3,38998.402
San Luis Potosí,Hombre,2009,3,30934.318
Sinaloa,Hombre,2009,3,34516.91
Sonora,Hombre,2009,3,34455.684
Tabasco,Hombre,2009,3,35488.121
Tamaulipas,Hombre,2009,3,35482.391
Tlaxcala,Hombre,2009,3,22123.17
Veracruz de Ignacio de la Llave,Hombre,2009,3,29626.811
Yucatán,Hombre,2009,3,27258.27
Zacatecas,Hombre,2009,3,30428.945
Aguascalientes,Hombre,2009,6,28558.277
Baja California,Hombre,2009,6,35294.383
Baja California Sur,Hombre,2009,6,40481.457
Campeche,Hombre,2009,6,27569.811
Coahuila de Zaragoza,Hombre,2009,6,31104.248
Colima,Hombre,2009,6,32569.285
Chiapas,Hombre,2009,6,24018.6
Chihuahua,Hombre,2009,6,35262.605
Ciudad de México,Hombre,2009,6,36618.234
Durango,Hombre,2009,6,26581.857
Guanajuato,Hombre,2009,6,28251.834
Guerrero,Hombre,2009,6,27429.889
Hidalgo,Hombre,2009,6,29723.469
Jalisco,Hombre,2009,6,33369.297
México,Hombre,2009,6,28747.537
Michoacán de Ocampo,Hombre,2009,6,31198.93
Morelos,Hombre,2009,6,26262.818
Nayarit,Hombre,2009,6,31693.057
Nuevo León,Hombre,2009,6,37433.785
Oaxaca,Hombre,2009,6,26984.482
Puebla,Hombre,2009,6,25550.854
Querétaro,Hombre,2009,6,32139.891
Quintana Roo,Hombre,2009,6,36324.973
San Luis Potosí,Hombre,2009,6,29726.172
Sinaloa,Hombre,2009,6,37488.902
Sonora,Hombre,2009,6,34958.094
Tabasco,Hombre,2009,6,35282.785
Tamaulipas,Hombre,2009,6,33696.727
Tlaxcala,Hombre,2009,6,21584.771
Veracruz de Ignacio de la Llave,Hombre,2009,6,31047.539
Yucatán,Hombre,2009,6,27320.418
Zacatecas,Hombre,2009,6,28046.172
Aguascalientes,Hombre,2009,9,27771.018
Baja California,Hombre,2009,9,33804.996
Baja California Sur,Hombre,2009,9,39633.234
Campeche,Hombre,2009,9,27377.57
Coahuila de Zaragoza,Hombre,2009,9,30186.531
Colima,Hombre,2009,9,32408.512
Chiapas,Hombre,2009,9,25643.826
Chihuahua,Hombre,2009,9,34487.875
Ciudad de México,Hombre,2009,9,35849.504
Durango,Hombre,2009,9,26757.697
Guanajuato,Hombre,2009,9,27894.904
Guerrero,Hombre,2009,9,26734.129
Hidalgo,Hombre,2009,9,30832.611
Jalisco,Hombre,2009,9,32322.992
México,Hombre,2009,9,28055.531
Michoacán de Ocampo,Hombre,2009,9,30540.621
Morelos,Hombre,2009,9,27060.92
Nayarit,Hombre,2009,9,31224.666
Nuevo León,Hombre,2009,9,35693.555
Oaxaca,Hombre,2009,9,26537.342
Puebla,Hombre,2009,9,25236.488
Querétaro,Hombre,2009,9,31342.049
Quintana Roo,Hombre,2009,9,34114.359
San Luis Potosí,Hombre,2009,9,29599.043
Sinaloa,Hombre,2009,9,36204.652
Sonora,Hombre,2009,9,34999.66
Tabasco,Hombre,2009,9,33716.617
Tamaulipas,Hombre,2009,9,32171.549
Tlaxcala,Hombre,2009,9,20380.371
Veracruz de Ignacio de la Llave,Hombre,2009,9,30158.018
Yucatán,Hombre,2009,9,26300.482
Zacatecas,Hombre,2009,9,28369.84
Aguascalientes,Hombre,2009,12,27805.084
Baja California,Hombre,2009,12,32643.242
Baja California Sur,Hombre,2009,12,37793.719
Campeche,Hombre,2009,12,27949.375
Coahuila de Zaragoza,Hombre,2009,12,30320.758
Colima,Hombre,2009,12,32037.322
Chiapas,Hombre,2009,12,23078.477
Chihuahua,Hombre,2009,12,30475.695
Ciudad de México,Hombre,2009,12,33426.332
Durango,Hombre,2009,12,25644.771
Guanajuato,Hombre,2009,12,27132.178
Guerrero,Hombre,2009,12,25708.521
Hidalgo,Hombre,2009,12,30986.311
Jalisco,Hombre,2009,12,32902.949
México,Hombre,2009,12,27488.986
Michoacán de Ocampo,Hombre,2009,12,30311.51
Morelos,Hombre,2009,12,25525.457
Nayarit,Hombre,2009,12,29715.625
Nuevo León,Hombre,2009,12,35496.727
Oaxaca,Hombre,2009,12,26968.977
Puebla,Hombre,2009,12,25592.416
Querétaro,Hombre,2009,12,32918.047
Quintana Roo,Hombre,2009,12,33793.488
San Luis Potosí,Hombre,2009,12,27733.121
