genero,ll_g,ul_g,genero_mco,ll_g_mco,ul_g_mco,n,year
-0.12757915,-0.143933841,-0.111224459,-0.117787759,-0.130349899,-0.105225619,84,2020
-0.127554416,-0.144141086,-0.110967745,-0.117787759,-0.130349899,-0.105225619,85,2020
-0.126975016,-0.1435573,-0.110392733,-0.117787759,-0.130349899,-0.105225619,86,2020
-0.131609285,-0.149373698,-0.113844871,-0.117787759,-0.130349899,-0.105225619,87,2020
-0.126932769,-0.145984185,-0.107881353,-0.117787759,-0.130349899,-0.105225619,88,2020
-0.125174199,-0.144065604,-0.106282793,-0.117787759,-0.130349899,-0.105225619,89,2020
-0.126137257,-0.146407009,-0.105867505,-0.117787759,-0.130349899,-0.105225619,90,2020
-0.124263587,-0.145899448,-0.102627726,-0.117787759,-0.130349899,-0.105225619,91,2020
-0.125917458,-0.149463709,-0.102371208,-0.117787759,-0.130349899,-0.105225619,92,2020
-0.122725815,-0.149931276,-0.095520353,-0.117787759,-0.130349899,-0.105225619,93,2020
-0.115245712,-0.142535228,-0.087956196,-0.117787759,-0.130349899,-0.105225619,94,2020
-0.107227964,-0.13779507,-0.076660858,-0.117787759,-0.130349899,-0.105225619,95,2020
-0.097845204,-0.129999447,-0.065690961,-0.117787759,-0.130349899,-0.105225619,96,2020
-0.099006378,-0.136781543,-0.061231213,-0.117787759,-0.130349899,-0.105225619,97,2020
-0.096040403,-0.14069291,-0.051387897,-0.117787759,-0.130349899,-0.105225619,98,2020
